disease,sign_and_symptoms,remedy,prepared_medicines,external_medicines,others,type
GLOSSITIS (Akkaram),There will be ulceration in the tongue.,The treatment indicated for Stomatitis may be adopted for this disease also,,,,Unknown
GASTRITIS(Gunmum),"Loss of appetite, nausea, vague discomfort in the epigastrium, heart burn, giddiness, sometimes vomiting and diarrhoea","Milage seeraga kudineer (black pepper and cumin seeds decoction)
Method of preparation
Take pepper and cumin seeds, each 5 g., add 200 ml. water
and prepare decoction reducing to 1/4th.
Dose
50 ml. twice daily.
Abdominal pain will also be relieved","1. Uppu chenduram ? 100 to 200 mg., twice daily, with water.
2. Panchadeepakkini choornam ? 0.5 to 1 g., twice daily with water.
3. Gonmakudori leghyam ? 1g, twice daily with
water",,,Pittam
"CONSTIPATION (Malakattu, Malabantham)",Unable to pass motion in the normal course.,"Kadukkai kadineer (chebulic myrobalan decoction)
Method of preparation
Take 15 g. of the pulp of the above drug, add 400 ml. water,
boil and reduce to 1/4th.
Dose
1/4th to 1 cup, before bed time","Nilavagai choornam ? 1 to 2g., with warm water , once at bed time.",,"For constipation in infants:
Mix equal parts of vilakkennai (castor oil) and thaipal
(breast milk) and administer one teaspoonful, followed by warm
water after 15 minutes",Vatham
DIARRHOEA (Bedhi),"Passing loose motions, often due to indigestion, pain in the
lower abdomen, occational vomiting","Chukku milagu choornam (dried ginger and black pepper choornam)
Method of preparation
Take equal parts of the above drugs, fry and make a fine powder.
Dose
1 g- twice daily, with water","1. Thair chundi choornam ? 2 to 3g. with warm water, twice daily
2. Chundai vatral choornam ? 1.5 to 2g., with buffalo milk, curd, twice daily.
3. Annabedi chenduram ? 100 to 200 mg, with honey, twice daily.
4. Padigalinga chenduram ? 1/2 to 1g, with buttermilk. twice daily.
If there is fever with diatrhoee, padigalinga chenduram should be administered with honey",,,Pittam
DIARRHOEA IN CHILDREN,"Passing loose motions, often due to indigestion, pain in the
lower abdomen, occational vomiting for infants","Poduthalai kudineer (lippia decoction)
Method of preparation
Take a handful of lippia leaves, add 5g. of ajowan, add
200 ml. of water, and prepare decoction reducing to 1/2th.
Dose
15 to 30 ml., thrice daily","1. Aamaiodu barpam(tortoise shell calx) ? 100 to 200 mg, with honey or breast milk, thrice daily.
Useful in diarrhoea due to acidity.
2. Nathai barpam(snail calx) ? 200 to 400 mg., with water, thrice daily",,,Pittam
DYSENTERY (Raktha Seetha Bedhi),"Passing freqnent motions, mixed with mucus and blood,
colicky pain, tenesmus pain in the lower abdomen","Kadukkaipoo kudineer (chebulic-myrobalan flower decoction)
Ingredients
1. Kadukkaipoo (Chebulic myrobalan flower)
2. Athividayam (Indian atees)
3. Sirunagapoo (Iron wood flower)
Method of preparation
Take 5g. each of the above drugs, pound them well in a
mortar, add 200 ml. of water, prepare decoction reducing to 1/4th.,
Dose
30 to 50 ml , twice daily","1. Annabedi chenduram ? 100 to 200 mg., with honey, twice daily.
2. Silajat barpam ? 1/2 to 1g., with butter,ghee or milk
3. Nathai barpam ? 200 to 400 mg, with butter, ghee or water.
4. Padigalinga chenduram ? 1/2 to 1g, with ghee, butter or buttermilk.
5. Kabada mathirai ? 1 tab, 2 of 3 times a day, with honey or plantain flower(vazhaipoo) juice",,,Vatham
DYSENTERY IN CHILDREN,"Passing freqnent motions, mixed with mucus and blood,
colicky pain, tenesmus pain in the lower abdomen in infants","Jathikkai podi (nutmeg powder)
Method of preparation
Make a fine powder of the above mentioned drag
Dose
150 to 300 mg., with honey or water, thrice daily.",,,,Vatham
HICCUP (Vikkal),Hiccup frequent of occasional.,"Ingredients
1. Thippili (long pepper) ? 1 part
2. Seeragam (cumin seeds) ? 1 part
3. Mayiliragu chutta chambal (burnt ash of peacock feather) ? I part
Method of preparation
Powder and sieve the ingredients 1 & 2. Mix the powder
with No. 3.
Dose
12 g., with honey, as often as required.","1. Vasantha kusumakara mathirai ? 1 to 2 pills (100 mg. each) with honey, twice daily.
2. Kastoori karuppu ? 50 to 100 mgs. 2 to 3 times daily.",,,Unknown
VOMITING (Vanthi),"Vomiting often undigested food material, thirst","Elakkai, Seeragam kudineer (Cardomom, cumin decoction)
Method of preparation
Take Cardomom 2g ., cumin seeds 4g., powder them and add 200 ml. water, Prepare decoction reducing to 1/4th.
Dose
30 to 50 ml., twice daily","1. Jathi jambeera kuzhambu ? 20 to 50 mg., twice daily.
2. Mathulai manappagu ? 2 to 4 tea-spoonful, thrice
daily.
3. Elathi choornam ? 1.5 to 3g., with honey twice
daily.
4. Kesari kuzhambu ? 3 to 6g., twice daily.

5. Naratthai leghyam ? 3 to 6g, twice daily",,"1. Elumitcham kottai thenil kuzhaithu koduthal
(Lemon seeds rubbed in honey and administered)
2. Uppu elumitchai oorugai (Lemon pickles)",Pittam
HEADACHE (Thalaivali),"Pain in the head?frontal, occipital near the eyebrows, nausea, at times vomiting.","A paste made out of any of the following may be applied externally to the forehead.
1. Lavangappattai, chukku (cinnamon bark, dried ginger)
2 Milagu (pepper).
3 Inji (ginger) made into a paste with breast milk or boiled cow?s milk and applied to scalp",,,"For bath.
1. Chukku (dried ginger) thailam.
2. Arakku (lac) thailam.
3. Sirobaranivarani thailam.",Pittam
"RING WORM (Padar Thamarai, Ecchil Thazhumbu)",,,,,,Unknown
FISSURE FOOT (Kal Vedippu),,,,,,Unknown
