Herb Name (English),Tamil Name,Botanical Name,Part Used,Key Uses,Form of Use
Siriyanangai,Siriyanangai,Andrographis paniculata,Leaf,"Fever, malaria, liver disorders","Decoction, powder"
Karisalankanni,Karisalankanni,Eclipta alba,Leaf,"Liver tonic, hair growth, eye disorders","Juice, paste"
Nochi,Nochi,Vitex negundo,Leaf,"Joint pain, fever, respiratory problems","Decoction, paste"
Kuppaimeni,Kuppaimeni,Acalypha indica,Leaf,"Skin diseases, wounds, respiratory disorders","Paste, juice"
Vallarai,Vallarai,Centella asiatica,Leaf,"Memory enhancer, anxiety, ulcers","Juice, paste"
Thippili,Thippili,Piper longum,"Fruit, root","Cough, asthma, digestive disorders","Powder, decoction"
Saraswathi Leaf,Brahmi,Bacopa monnieri,Leaf,"Memory, concentration, epilepsy","Juice, powder"
Keelanelli,Keelanelli,Phyllanthus niruri,Whole plant,"Jaundice, liver tonic, urinary disorders","Juice, decoction"
Manathakkali,Manathakkali,Solanum nigrum,"Leaf, fruit","Ulcers, liver disorders, skin diseases","Soup, decoction"
Mudakathan,Mudakathan,Cardiospermum halicacabum,Leaf,"Joint pain, arthritis, skin diseases","Soup, paste"
Karisalankanni Yellow,Manjal Karisalankanni,Wedelia chinensis,Leaf,"Hair growth, liver tonic, skin diseases","Paste, oil"
Seenthil,Seenthil Kodi,Tinospora cordifolia,Stem,"Immunity booster, fever, diabetes","Decoction, juice"
Vilvam Leaf,Vilvam,Aegle marmelos,Leaf,"Respiratory issues, digestive problems","Juice, decoction"
Parpatakam,Parpadagam,Mollugo cerviana,Whole plant,"Urinary infection, fever, cooling",Decoction
Amman Pacharisi,Amman Pacharisi,Euphorbia hirta,Whole plant,"Asthma, skin diseases, warts","Juice, paste"
Perandai,Pirandai,Cissus quadrangularis,Stem,"Bone fractures, digestion, appetite","Chutney, powder"
Hibiscus,Semparuthi,Hibiscus rosa-sinensis,"Flower, leaf","Hair growth, skin health, cooling","Paste, oil"
Betel Leaf,Vetrilai,Piper betle,Leaf,"Digestion, cold, antimicrobial","Chewing, decoction"
Drumstick Tree,Murungai,Moringa oleifera,"Leaf, pod","Strength, lactation, immunity","Soup, curry"
Sesame,Ellu,Sesamum indicum,"Seed, oil","Strength, hair health, skin health","Oil, paste"
Castor,Amanakku,Ricinus communis,"Seed, leaf, oil","Constipation, joint pain, hair growth","Oil, decoction"
Tamarind,Puli,Tamarindus indica,"Fruit, leaf","Digestion, cooling, skin cleanser","Juice, paste"
Guava Leaf,Koyya Ilai,Psidium guajava,Leaf,"Diarrhea, wounds, oral health","Decoction, paste"
Banana Plant,Vazhai,Musa paradisiaca,"Fruit, flower, stem","Ulcers, digestion, kidney stones","Juice, cooked"
Sandalwood,Santhana,Santalum album,"Wood, oil","Cooling, skin care, fever","Paste, oil"
Camphor,Karpuram,Cinnamomum camphora,"Crystal, oil","Cold, cough, headache, antimicrobial","Inhalation, oil"
Indian Sarsaparilla,Nannari,Hemidesmus indicus,Root,"Cooling, blood purifier, urinary problems","Syrup, decoction"
